ID,description,VN(name),VV(version),VT(type),VRC(root cause),VP(position),VAT(attacker type),VAV(attack vector),VR(result)
CVE-2005-3267,"Integer overflow in Skype client before 1.4.x.84 on Windows, before 1.3.x.17 on Mac OS, before 1.2.x.18 on Linux, and 1.1.x.6 and earlier allows remote attackers to cause a denial of service (crash) via crafted network data with a large Object Counter value, which leads to a resultant heap-based buffer overflow.",Skype client,before 1.4.x.84 on Windows |n before 1.3.x.17 on Mac OS |n before 1.2.x.18 on Linux |n 1.1.x.6 and earlier,Integer overflow,,,remote attackers,crafted network data with a large Object Counter value,cause a denial of service (crash
CVE-2005-4047,Cross-site scripting (XSS) vulnerability in kb.asp in IISWorks ASPKnowledgeBase 2.0 allows remote attackers to inject arbitrary web script or HTML via the a parameter.,IISWorks ASPKnowledgeBase,2,Cross-site scripting (XSS) vulnerability,,kb.asp,remote attackers,the a parameter,inject arbitrary web script or HTML
CVE-2005-1933,"Dashboard in Apple Mac OS X Tiger 10.4 allows attackers to execute arbitrary commands by overriding the behavior of system widgets via a user widget with the same bundle identifier (CFBundleIdentifier), a different vulnerability than CVE-2005-1474.",Apple Mac OS X Tiger,10.4,,,Dashboard,,overriding the behavior of system widgets via a user widget with the same bundle identifier (CFBundleIdentifier),execute arbitrary commands
CVE-2005-3869,Cross-site scripting (XSS) vulnerability in index.php in Google API Search 1.3.1 and earlier allows remote attackers to inject arbitrary web script or HTML via hex-encoded values in the REQ parameter.,Google API Search,1.3.1 and earlier,Cross-site scripting (XSS) vulnerability,,index.php,remote attackers,hex-encoded values in the REQ parameter,inject arbitrary web script or HTML
CVE-2005-0173,"squid_ldap_auth in Squid 2.5 and earlier allows remote authenticated users to bypass username-based Access Control Lists (ACLs) via a username with a space at the beginning or end, which is ignored by the LDAP server.",Squid,2.5 and earlier,,,squid_ldap_auth,remote authenticated users,a username with a space at the beginning or end,bypass username-based Access Control Lists (ACLs)
CVE-2006-2282,"Cross-site scripting (XSS) vulnerability in X7 Chat 2.0.2 and earlier allows remote attackers to inject arbitrary web script or HTML via a javascript URI in the URL of an avatar, possibly related to the avatar parameter in register.php.",X7 Chat,2.0.2 and earlier,Cross-site scripting (XSS) vulnerability,,,remote attackers,a javascript URI in the URL of an avatar,inject arbitrary web script or HTML
CVE-2006-3881,"Cross-site scripting (XSS) vulnerability in Shalwan MusicBox 2.3.4 and earlier allows remote attackers to inject arbitrary web script or HTML via the id parameter in a request for the top-level URI.  NOTE: the id parameter in index.php, and the type and show parameters in a top action, are already covered by CVE-2006-1349; and the term parameter in a search action is already covered by CVE-2006-1806.",Shalwan MusicBox,2.3.4 and earlier,Cross-site scripting (XSS) vulnerability,,,remote attackers,the id parameter in a request for the top-level URI,inject arbitrary web script or HTML
CVE-2006-6848,"SQL injection vulnerability in admin.asp in ASPTicker 1.0 allows remote attackers to execute arbitrary SQL commands via the PATH_INFO, possibly related to the Password parameter.",ASPTicker,1,SQL injection vulnerability,,admin.asp,remote attackers,"the PATH_INFO, possibly related to the Password parameter",execute arbitrary SQL commands
CVE-2006-0204,"Multiple cross-site scripting (XSS) vulnerabilities in Wordcircle 2.17 allow remote attackers to inject arbitrary web script or HTML via (1) the ""Course name"" field in index.php when the frm parameter has the value ""mine"" and (2) possibly certain other fields in unspecified scripts.",Wordcircle,2.17,Multiple cross-site scripting (XSS) vulnerabilities,,,remote attackers,"(1) the ""Course name"" field in index.php when the frm parameter has the value ""mine"" and (2) possibly certain other fields in unspecified scripts",inject arbitrary web script or HTML
CVE-2006-6474,"Untrusted search path vulnerability in McAfee VirusScan for Linux 4510e and earlier includes the current working directory in the DT_RPATH environment variable, which allows local users to load arbitrary ELF DSO libraries and execute arbitrary code by installing malicious libraries in that directory.",Linux,4510e and earlier,Untrusted search path vulnerability,includes the current working directory in the DT_RPATH environment variable,McAfee VirusScan,local users,installing malicious libraries in that directory,load arbitrary ELF DSO libraries and execute arbitrary code
CVE-2006-2411,Buffer overflow in raydium_network_read function in network.c in Raydium SVN revision 312 and earlier allows remote attackers to execute arbitrary code by sending packets with long global variables to the client.,Raydium SVN,revision 312 and earlier,Buffer overflow,,raydium_network_read function in network.c,remote attackers,sending packets with long global variables to the client,execute arbitrary code
CVE-2006-0419,"BEA WebLogic Server and WebLogic Express 9.0, 8.1 through SP5, and 7.0 through SP6 allows anonymous binds to the embedded LDAP server, which allows remote attackers to read user entries or cause a denial of service (unspecified) via a large number of connections.",BEA WebLogic Server and WebLogic Express,"9.0, 8.1 through SP5 |n 7.0 through SP6",,allows anonymous binds to the embedded LDAP server,,remote attackers,a large number of connections,read user entries or cause a denial of service (unspecified)
CVE-2006-5161,"IBM Client Security Password Manager stores and distributes saved passwords based upon the title of a website, which allows remote attackers to obtain username and password credentials by changing the title of an HTML page.",IBM Client Security Password Manager,,,stores and distributes saved passwords based upon the title of a website,,remote attackers,changing the title of an HTML page,obtain username and password credentials
CVE-2006-3275,SQL injection vulnerability in profile.php in YaBB SE 1.5.5 and earlier allows remote attackers to execute SQL commands via a double-encoded user parameter in a viewprofile action.,YaBB SE,1.5.5 and earlier,SQL injection vulnerability,,profile.php,remote attackers,a double-encoded user parameter in a viewprofile action,execute SQL commands
CVE-2006-3514,"Multiple cross-site scripting (XSS) vulnerabilities in admin/actions.php in PHP-Blogger 2.2.5, and possibly earlier versions, allow remote attackers to execute arbitrary web script or HTML via the (1) name, (2) title, (3) news, (4) description, and (5) sitename parameters.",PHP-Blogger,2.2.5 |n earlier versions,Multiple cross-site scripting (XSS) vulnerabilities,,admin/actions.php,remote attackers,name |n title |n news |n description |n sitename parameters,execute arbitrary web script or HTML
CVE-2007-3398,LiteWEB 2.7 allows remote attackers to cause a denial of service (hang) via a large number of requests for nonexistent pages.,LiteWEB,2.7,,,,remote attackers,a large number of requests for nonexistent pages, cause a denial of service (hang)
CVE-2007-4231,"PHP remote file inclusion vulnerability in order/login.php in IDevSpot PhpHostBot 1.06 and earlier allows remote attackers to execute arbitrary PHP code via a URL in the svr_rootscript parameter, a different vector than CVE-2007-4094 and CVE-2006-3776.",IDevSpot PhpHostBot,1.06 and earlier,PHP remote file inclusion vulnerability,,order/login.php,remote attackers,a URL in the svr_rootscript parameter,execute arbitrary PHP code
CVE-2007-3027,"Race condition in Microsoft Internet Explorer 5.01, 6, and 7 allows remote attackers to execute arbitrary code by causing Internet Explorer to install multiple language packs in a way that triggers memory corruption, aka ""Language Pack Installation Vulnerability.""",Microsoft Internet Explorer,5.01 |n 6 |n 7,Race condition |n Language Pack Installation Vulnerability,,,remote attackers,causing Internet Explorer to install multiple language packs in a way that triggers memory corruption,execute arbitrary code
CVE-2007-0919,Directory traversal vulnerability in Nickolas Grigoriadis Mini Web server (MiniWebsvr) 0.0.6 allows remote attackers to list the directory immediately above the web root via a ..%00 sequence in the URI.,Nickolas Grigoriadis Mini Web server (MiniWebsvr),0.0.6,Directory traversal vulnerability,,,remote attackers,a ..%00 sequence in the URI,list the directory immediately above the web root
CVE-2007-3164,"Microsoft Internet Explorer 7, when prompting for HTTP Basic Authentication for an IDN web site, uses ACE labels for the domain name in the status bar, but uses internationalized labels for this name in the authentication dialog, which might allow remote attackers to perform phishing attacks if the user misinterprets confusable characters in the internationalized labels, as demonstrated by displaying xn--theshmogroup-bgk.com only in the status bar.",Microsoft Internet Explorer,7,,"prompting for HTTP Basic Authentication for an IDN web site, uses ACE labels for the domain name in the status bar, but uses internationalized labels for this name in the authentication dialog",,remote attackers,user misinterprets confusable characters in the internationalized labels,perform phishing attacks
CVE-2007-4905,"Unrestricted file upload vulnerability in mod/contak.php in AuraCMS 2.1 allows remote attackers to upload and execute arbitrary PHP files via the image parameter, which places a file under files/.",AuraCMS,2.1,Unrestricted file upload vulnerability,,mod/contak.php,remote attackers,the image parameter,upload and execute arbitrary PHP files
CVE-2007-3701,"TippingPoint IPS before 20070710 does not properly handle a hex-encoded alternate Unicode '/' (slash) character, which might allow remote attackers to send certain network traffic and avoid detection, as demonstrated by a cmd.exe attack.",TippingPoint IPS,before 20070710,,does not properly handle a hex-encoded alternate Unicode '/' (slash) character,,remote attackers,,send certain network traffic and avoid detection
CVE-2007-3259,"Calendarix 0.7.20070307 allows remote attackers to obtain sensitive information via (1) an invalid month[] parameter to calendar.php, (2) an invalid catview[] parameter to cal_week.php in a week operation, (3) an invalid ycyear[] parameter to yearcal.php, or (4) a direct request to cal_functions.inc.php, which reveals the installation path in various error messages.",Calendarix,0.7.20070307,,,,remote attackers,an invalid month[] parameter to calendar.php |n an invalid catview[] parameter to cal_week.php in a week operation |n an invalid ycyear[] parameter to yearcal.php |n a direct request to cal_functions.inc.php,obtain sensitive information
CVE-2007-0300,PHP remote file inclusion vulnerability in i-accueil.php in TLM CMS 1.1 and earlier allows remote attackers to execute arbitrary PHP code via a URL in the chemin parameter.,TLM CMS,1.1 and earlier,PHP remote file inclusion vulnerability,,i-accueil.php,remote attackers,a URL in the chemin parameter,execute arbitrary PHP code
CVE-2007-5559,"Heap-based buffer overflow in the IBM ThinkVantage TPM Service allows remote attackers to execute arbitrary code via a crafted HTTP packet. NOTE: as of 20071016, the only disclosure is a vague pre-advisory with no actionable information. However, since it is from a well-known researcher, it is being assigned a CVE identifier for tracking purposes.",IBM ThinkVantage TPM Service,,Heap-based buffer overflow,,,remote attackers,a crafted HTTP packet,execute arbitrary code
